Markdown File,HTML File,Total Images,Missing Images,Missing Image Names
".venv/lib/python3.13/site-packages/soupsieve-2.7.dist-info/licenses/LICENSE.md","NOT_FOUND",0,0,""
"_pages/pt/artigos-artigos-publicacoes.md","artigos.html",4,0,""
"_pages/pt/bibliotecajoaoaffonso-biblioteca-joao-affonso.md","bibliotecajoaoaffonso.html",110,0,""
"_pages/pt/blog-clipping-diario-de-bordo.md","blog-clipping.html",16,0,""
"_pages/pt/caixadecriadores-caixa-de-criadores.md","caixadecriadores.html",4,0,""
"_pages/pt/contato-fernandohage-gmailcomfasoares-faapbr.md","contato.html",0,0,""
"_pages/pt/curriculo-curriculo-resumido.md","curriculo.html",0,0,""
"_pages/pt/home-pt-moda-cultura-e-arte.md","home-pt.html",6,0,""
"_pages/pt/livosgouncourt-biblioteca-joao-affonso.md","livosgouncourt.html",18,0,""
"_pages/pt/livrosbrasileirosja-biblioteca-joao-affonso.md","livrosbrasileirosja.html",6,0,""
"_pages/pt/livrosgravura-biblioteca-joao-affonso.md","livrosgravura.html",14,0,""
"_pages/pt/livroshistoria-biblioteca-joao-affonso.md","livroshistoria.html",12,0,""
"_pages/pt/livrosmoda-biblioteca-joao-affonso.md","livrosmoda.html",12,0,""
"_pages/pt/livrosteatro-biblioteca-joao-affonso.md","livrosteatro.html",8,0,""
"_pages/pt/meulivro-entre-palavrasdesenhos-e-modas.md","meulivro.html",2,0,""
"_pages/pt/podcasts-podcasts.md","podcasts.html",0,0,""
"_pages/pt/revistasbrasileiras-biblioteca-joao-affonso.md","revistasbrasileiras.html",4,0,""
"_pages/pt/revistasfrancesas-biblioteca-joao-affonso.md","revistasfrancesas.html",14,0,""
"_pages/pt/territorio-da-moda.md","territoriodamoda.html",98,0,""
"_pages/pt/territoriodamoda-territorio-da-moda.md","territoriodamoda.html",82,0,""
"_pages/pt/tese-de-doutorado-imagens-na-historia-do-vestuario.md","tese-de-doutorado.html",0,0,""
"_pages/pt/tresseculosdemodas-tres-seculos-de-modas-1616-1916.md","tresseculosdemodas.html",114,0,""
"_pages/pt/videos-videos.md","videos.html",3,3,"maxresdefault.jpg; maxresdefault.jpg; maxresdefault.jpg"
"_posts/en/2025-07-02-apple-pie-recipe.md","NOT_FOUND",2,2,"apple_pie_recipe.jpg; apple_pie_recipe.jpg"
"_posts/pt/2004-08-01-projetos-especiais-chamma-da-amazonia.md","NOT_FOUND",10,10,"projetos-especiais-chamma-da-amazonia-01.jpg; projetos-especiais-chamma-da-amazonia-02.jpg; projetos-especiais-chamma-da-amazonia-03.jpg; projetos-especiais-chamma-da-amazonia-04.jpg; projetos-especiais-chamma-da-amazonia-05.jpg; projetos-especiais-chamma-da-amazonia-01.jpg; projetos-especiais-chamma-da-amazonia-02.jpg; projetos-especiais-chamma-da-amazonia-03.jpg; projetos-especiais-chamma-da-amazonia-04.jpg; projetos-especiais-chamma-da-amazonia-05.jpg"
"_posts/pt/2004-08-02-ilustracoes-para-museu-paraense-emilio-goeldi.md","NOT_FOUND",8,8,"ilustracoes-para-museu-paraense-emilio-goeldi-01.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-02.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-03.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-04.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-01.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-02.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-03.jpg; ilustracoes-para-museu-paraense-emilio-goeldi-04.jpg"
"_posts/pt/2004-12-16-projeto-porta-moda-na-figueredo.md","NOT_FOUND",10,10,"projeto-porta-moda-na-figueredo-01.jpg; projeto-porta-moda-na-figueredo-02.jpg; projeto-porta-moda-na-figueredo-03.jpg; projeto-porta-moda-na-figueredo-04.jpg; projeto-porta-moda-na-figueredo-05.jpg; projeto-porta-moda-na-figueredo-01.jpg; projeto-porta-moda-na-figueredo-02.jpg; projeto-porta-moda-na-figueredo-03.jpg; projeto-porta-moda-na-figueredo-04.jpg; projeto-porta-moda-na-figueredo-05.jpg"
"_posts/pt/2004-12-30-fernando-hage-para-q-vizu-verao-2005.md","NOT_FOUND",12,12,"fernando-hage-para-q-vizu-verao-2005-01.jpg; fernando-hage-para-q-vizu-verao-2005-02.jpg; fernando-hage-para-q-vizu-verao-2005-03.jpg; fernando-hage-para-q-vizu-verao-2005-04.jpg; fernando-hage-para-q-vizu-verao-2005-05.jpg; fernando-hage-para-q-vizu-verao-2005-06.jpg; fernando-hage-para-q-vizu-verao-2005-01.jpg; fernando-hage-para-q-vizu-verao-2005-02.jpg; fernando-hage-para-q-vizu-verao-2005-03.jpg; fernando-hage-para-q-vizu-verao-2005-04.jpg; fernando-hage-para-q-vizu-verao-2005-05.jpg; fernando-hage-para-q-vizu-verao-2005-06.jpg"
"_posts/pt/2006-03-06-jr-sport-fashion-por-fernando-hage.md","NOT_FOUND",10,10,"jr-sport-fashion-por-fernando-hage-01.jpg; jr-sport-fashion-por-fernando-hage-02.jpg; jr-sport-fashion-por-fernando-hage-03.jpg; jr-sport-fashion-por-fernando-hage-04.jpg; jr-sport-fashion-por-fernando-hage-05.jpg; jr-sport-fashion-por-fernando-hage-01.jpg; jr-sport-fashion-por-fernando-hage-02.jpg; jr-sport-fashion-por-fernando-hage-03.jpg; jr-sport-fashion-por-fernando-hage-04.jpg; jr-sport-fashion-por-fernando-hage-05.jpg"
